2025-11-05 11:41:50 | Task_ID:1 | U_Value:0.66 | Agent1_Belief:95 | Agent2_Belief:55 | Agent1_Choice:A | Agent1_Strategy:collaborative | Agent2_Choice:A | Agent2_Strategy:collaborative | Mismatch:0
2025-11-05 11:47:53 | Task_ID:1 | U_Value:0.66 | Agent1_Belief:95 | Agent2_Belief:67 | Agent1_Choice:A | Agent1_Strategy:collaborative | Agent2_Choice:A | Agent2_Strategy:collaborative | Mismatch:0
2025-11-05 11:51:38 | Task_ID:1 | U_Value:0.66 | Agent1_Belief:95 | Agent2_Belief:65 | Agent1_Choice:A | Agent1_Strategy:collaborative | Agent2_Choice:A | Agent2_Strategy:collaborative | Mismatch:0
2025-11-05 11:55:56 | Task_ID:1 | U_Value:0.66 | Agent1_Belief:95 | Agent2_Belief:25 | Agent1_Choice:A | Agent1_Strategy:collaborative | Agent2_Choice:A | Agent2_Strategy:collaborative | Mismatch:0
2025-11-05 12:03:45 | Task_ID:1 | U_Value:0.66 | Agent1_Belief:70 | Agent2_Belief:95 | Agent1_Choice:A | Agent1_Strategy:collaborative | Agent2_Choice:A | Agent2_Strategy:collaborative | Mismatch:0
2025-11-05 12:08:32 | Task_ID:1 | U_Value:0.66 | Agent1_Belief:28 | Agent2_Belief:55 | Agent1_Choice:A | Agent1_Strategy:collaborative | Agent2_Choice:A | Agent2_Strategy:collaborative | Mismatch:0
2025-11-05 12:12:51 | Task_ID:1 | U_Value:0.66 | Agent1_Belief:95 | Agent2_Belief:35 | Agent1_Choice:A | Agent1_Strategy:collaborative | Agent2_Choice:A | Agent2_Strategy:collaborative | Mismatch:0
2025-11-05 12:19:51 | Task_ID:1 | U_Value:0.66 | Agent1_Belief:53 | Agent2_Belief:95 | Agent1_Choice:A | Agent1_Strategy:collaborative | Agent2_Choice:A | Agent2_Strategy:collaborative | Mismatch:0
2025-11-14 10:15:48 | Task_ID:1 | U_Value:0.75 | Agent1_Belief:95 | Agent2_Belief:25 | Agent1_Choice:A | Agent1_Strategy:collaborative | Agent2_Choice:A | Agent2_Strategy:collaborative | Mismatch:0
2025-11-14 10:22:50 | Task_ID:1 | U_Value:0.75 | Agent1_Belief:48 | Agent2_Belief:95 | Agent1_Choice:A | Agent1_Strategy:collaborative | Agent2_Choice:A | Agent2_Strategy:collaborative | Mismatch:0
2025-11-14 10:27:06 | Task_ID:1 | U_Value:0.75 | Agent1_Belief:60 | Agent2_Belief:76 | Agent1_Choice:Y | Agent1_Strategy:individual | Agent2_Choice:A | Agent2_Strategy:collaborative | Mismatch:1
